UserID,MessageTime,Quote,Text
33635216,2024-09-11 13:15:00,"[['33632323'], {'blockid': '2039250', 'data_source': '33632323', 'data_text': '\n\nHeisenberg111 said:\n\n\n\nMới thầu đc outsource của LG nên tuyển ồ ạt, nhưng mà lấy CV rồi để người của Lg phỏng vấn\n\nClick to expand...\n\n'}]","



Heisenberg111 said:



Mới thầu đc outsource của LG nên tuyển ồ ạt, nhưng mà lấy CV rồi để người của Lg phỏng vấn

Click to expand...

Thế thì thím kia apply thẳng LG đi, thấy tuyển trên IT việc suốt mà, đi qua trung gian CMC làm gì

 
"
33635591,2024-09-11 13:40:00,"[['33632323'], {'blockid': '2039250', 'data_source': '33632323', 'data_text': '\n\nHeisenberg111 said:\n\n\n\nMới thầu đc outsource của LG nên tuyển ồ ạt, nhưng mà lấy CV rồi để người của Lg phỏng vấn\n\nClick to expand...\n\n'}]","



Heisenberg111 said:



Mới thầu đc outsource của LG nên tuyển ồ ạt, nhưng mà lấy CV rồi để người của Lg phỏng vấn

Click to expand...

LG cắt FPT qua CMC ah

 
"
33636768,2024-09-11 14:45:00,"[['33596511'], {'blockid': '1400989', 'data_source': '33596511', 'data_text': '\n\nxmancat96 said:\n\n\n\nNgày xưa làm đây, có em trợ lý khá xinh, đi thang máy bắt chuyện với ẻm xong tay trưởng phòng thấy cứ nhìn chằm chằm. Hôm sau ăn xong ra căng tin thì thấy tay này đang ngồi cafe với ẻm. Sau này nhảy công ty thì nghe tin có drama một trong ba sếp tổng dính với gái cty bị vợ phát hiện. Ko biết có phải hai đứa này ko, đúng thì đáng đời thằng kia .\n\nNgày xưa mới vào cũng ngỡ ngàng công ty tuyển nhiều gái trẻ, xinh. Giờ mới hiểu mục đích. Sắc dục đúng là siềng xích của đời người, nghĩ sau này mình mà có cty riêng chắc cũng ko tránh khỏi. \n\nClick to expand...\n\n'}]","



xmancat96 said:



Ngày xưa làm đây, có em trợ lý khá xinh, đi thang máy bắt chuyện với ẻm xong tay trưởng phòng thấy cứ nhìn chằm chằm. Hôm sau ăn xong ra căng tin thì thấy tay này đang ngồi cafe với ẻm. Sau này nhảy công ty thì nghe tin có drama một trong ba sếp tổng dính với gái cty bị vợ phát hiện. Ko biết có phải hai đứa này ko, đúng thì đáng đời thằng kia .

Ngày xưa mới vào cũng ngỡ ngàng công ty tuyển nhiều gái trẻ, xinh. Giờ mới hiểu mục đích. Sắc dục đúng là siềng xích của đời người, nghĩ sau này mình mà có cty riêng chắc cũng ko tránh khỏi. 

Click to expand...

lướt linkedin thấy bên này lắm gãi xinh vãi, toàn em ngon, chắc cũng có chủ đích cả 

 
"
