UserID,MessageTime,Quote,Text
33489450,2024-09-01 16:14:00,"[['33488949'], {'blockid': '1842830', 'data_source': '33488949', 'data_text': '\n\nrewind_repeat_it said:\n\n\n\nko, fen report làm tới đâu là đc, chứ mn cx ko hỏi vì sao chậm hay gì cả\n\nClick to expand...\n\n'}]","



rewind_repeat_it said:



ko, fen report làm tới đâu là đc, chứ mn cx ko hỏi vì sao chậm hay gì cả

Click to expand...

Thím cho mình hỏi pv fail ở EH thì có re apply lại được không hay auto bị reject thím

 
"
33491788,2024-09-01 19:37:00,[],"

bác nào làm ở công ty B long thành chưa ạ cho em xin ít review môi trường trỏng với

 
"
33491908,2024-09-01 19:48:00,"[['33483401'], {'blockid': '485476', 'data_source': '33483401', 'data_text': '\n\nHIL said:\n\n\n\nCảm ơn những nhận xét của bạn. Mình cũng nghe một vài đồng nghiệp cũ của mình nhận xét tương tự về EH. Rất cần những đánh giá công ti top tier khác với tinh thần khách quan như vậy, đỡ tốn thời gian các bên.\n\nTriết lí làm việc của mình không hợp với EH. Mình đề cao chất lượng đầu ra, từ việc phải đáp ứng functional requirements cho đến non-functional requirements. Nói không với code thiếu executable specifications. Rất nhiều senior mình quen (kể cả một số đồng nghiệp châu Âu, thường thấy ở những bạn trình còn thấp) rơi vào những tình huống sau: (1) miễn cưỡng viết test cho đủ target coverage, để build agent hài lòng (2) lạm dụng mock framework (3) unit test viết tightly-coupled với production code, khi thay đổi implementation thì càm ràm đống unit test không compile hàng loạt, dù functional requirement không thay đổi (4) viết nhiều unit test. Miễn đôi co với mấy bạn chuyên outsource. Miễn tranh luận với các bạn làm frontend, mình chỉ làm backend.\n\nDù EH có trả 1,5 tỉ/năm để làm việc với phương pháp hiện tại của họ, mình cũng lắc đầu, vì đôi bên không hợp nhau.\n\nClick to expand...\n\n'}]","



HIL said:



Cảm ơn những nhận xét của bạn. Mình cũng nghe một vài đồng nghiệp cũ của mình nhận xét tương tự về EH. Rất cần những đánh giá công ti top tier khác với tinh thần khách quan như vậy, đỡ tốn thời gian các bên.

Triết lí làm việc của mình không hợp với EH. Mình đề cao chất lượng đầu ra, từ việc phải đáp ứng functional requirements cho đến non-functional requirements. Nói không với code thiếu executable specifications. Rất nhiều senior mình quen (kể cả một số đồng nghiệp châu Âu, thường thấy ở những bạn trình còn thấp) rơi vào những tình huống sau: (1) miễn cưỡng viết test cho đủ target coverage, để build agent hài lòng (2) lạm dụng mock framework (3) unit test viết tightly-coupled với production code, khi thay đổi implementation thì càm ràm đống unit test không compile hàng loạt, dù functional requirement không thay đổi (4) viết nhiều unit test. Miễn đôi co với mấy bạn chuyên outsource. Miễn tranh luận với các bạn làm frontend, mình chỉ làm backend.

Dù EH có trả 1,5 tỉ/năm để làm việc với phương pháp hiện tại của họ, mình cũng lắc đầu, vì đôi bên không hợp nhau.

Click to expand...










Đọc sách “Tâm lí dân tộc An Nam”


Trong chuyến công tác vừa qua ở Việt Nam, tôi được hai bạn tặng hai cuốn sách dịch từ cuốn “Psychologie du peuple annamite” của Paul Giran xuất bản năm 1904. Bản thứ nhứt là của dịch giả Bác sĩ Pha…




nguyenvantuan.info





 
"
33492777,2024-09-01 20:58:00,"[['33483401'], {'blockid': '485476', 'data_source': '33483401', 'data_text': '\n\nHIL said:\n\n\n\nCảm ơn những nhận xét của bạn. Mình cũng nghe một vài đồng nghiệp cũ của mình nhận xét tương tự về EH. Rất cần những đánh giá công ti top tier khác với tinh thần khách quan như vậy, đỡ tốn thời gian các bên.\n\nTriết lí làm việc của mình không hợp với EH. Mình đề cao chất lượng đầu ra, từ việc phải đáp ứng functional requirements cho đến non-functional requirements. Nói không với code thiếu executable specifications. Rất nhiều senior mình quen (kể cả một số đồng nghiệp châu Âu, thường thấy ở những bạn trình còn thấp) rơi vào những tình huống sau: (1) miễn cưỡng viết test cho đủ target coverage, để build agent hài lòng (2) lạm dụng mock framework (3) unit test viết tightly-coupled với production code, khi thay đổi implementation thì càm ràm đống unit test không compile hàng loạt, dù functional requirement không thay đổi (4) viết nhiều unit test. Miễn đôi co với mấy bạn chuyên outsource. Miễn tranh luận với các bạn làm frontend, mình chỉ làm backend.\n\nDù EH có trả 1,5 tỉ/năm để làm việc với phương pháp hiện tại của họ, mình cũng lắc đầu, vì đôi bên không hợp nhau.\n\nClick to expand...\n\n'}]","



HIL said:



Cảm ơn những nhận xét của bạn. Mình cũng nghe một vài đồng nghiệp cũ của mình nhận xét tương tự về EH. Rất cần những đánh giá công ti top tier khác với tinh thần khách quan như vậy, đỡ tốn thời gian các bên.

Triết lí làm việc của mình không hợp với EH. Mình đề cao chất lượng đầu ra, từ việc phải đáp ứng functional requirements cho đến non-functional requirements. Nói không với code thiếu executable specifications. Rất nhiều senior mình quen (kể cả một số đồng nghiệp châu Âu, thường thấy ở những bạn trình còn thấp) rơi vào những tình huống sau: (1) miễn cưỡng viết test cho đủ target coverage, để build agent hài lòng (2) lạm dụng mock framework (3) unit test viết tightly-coupled với production code, khi thay đổi implementation thì càm ràm đống unit test không compile hàng loạt, dù functional requirement không thay đổi (4) viết nhiều unit test. Miễn đôi co với mấy bạn chuyên outsource. Miễn tranh luận với các bạn làm frontend, mình chỉ làm backend.

Dù EH có trả 1,5 tỉ/năm để làm việc với phương pháp hiện tại của họ, mình cũng lắc đầu, vì đôi bên không hợp nhau.

Click to expand...

Cá nhân mình rất sợ làm việc với đồng nghiệp như b, cái văn trình bày quan điểm xong miễn tranh luận dị ứng vcl

 
"
33492805,2024-09-01 21:01:00,[],"

toxic lên các bạn! lụi nhau đi 

 
"
33493312,2024-09-01 21:43:00,"[['33492777'], {'blockid': '1105710', 'data_source': '33492777', 'data_text': '\n\nngonthibantiepdi said:\n\n\n\nCá nhân mình rất sợ làm việc với đồng nghiệp như b, cái văn trình bày quan điểm xong miễn tranh luận dị ứng vcl\n\nClick to expand...\n\n'}]","



ngonthibantiepdi said:



Cá nhân mình rất sợ làm việc với đồng nghiệp như b, cái văn trình bày quan điểm xong miễn tranh luận dị ứng vcl

Click to expand...

Đồng ý với bác. Từng làm với người nhw thế , khá là khó chịu. Trong mắt họ kiểu ý kiến , quan điểm của ng k luôn luôn sai, bản thân họ mói đúng. Thái độ bề trên câc kiểu

 
"
33498400,2024-09-02 09:27:00,"[['33489450'], {'blockid': '1684307', 'data_source': '33489450', 'data_text': '\n\ngaranphomai said:\n\n\n\nThím cho mình hỏi pv fail ở EH thì có re apply lại được không hay auto bị reject thím\n\nClick to expand...\n\n'}]","



garanphomai said:



Thím cho mình hỏi pv fail ở EH thì có re apply lại được không hay auto bị reject thím

Click to expand...

Nghe bảo tầm 6 tháng tới 1 năm, thường là 1 năm

 
"
33499119,2024-09-02 10:22:00,"[['33498400'], {'blockid': '1264603', 'data_source': '33498400', 'data_text': '\n\npoiuytrewq199911 said:\n\n\n\nNghe bảo tầm 6 tháng tới 1 năm, thường là 1 năm\n\nClick to expand...\n\n'}]","



poiuytrewq199911 said:



Nghe bảo tầm 6 tháng tới 1 năm, thường là 1 năm

Click to expand...

Cảm ơn thím :*

 
"
33499458,2024-09-02 10:50:00,"[['33471800'], {'blockid': '1929207', 'data_source': '33471800', 'data_text': '\n\nHdn123 said:\n\n\n\nBác nào có kinh nghiệm cho e xin ít review về lazada với ạ\n\nvia theNEXTvoz for iPhone\n\nClick to expand...\n\n'}]","



Hdn123 said:



Bác nào có kinh nghiệm cho e xin ít review về lazada với ạ

via theNEXTvoz for iPhone

Click to expand...

bác pv vị trí nào thế

 
"
33505375,2024-09-02 20:12:00,"[['33493312'], {'blockid': '1721020', 'data_source': '33493312', 'data_text': '\n\nLoserThapNghiep said:\n\n\n\nĐồng ý với bác. Từng làm với người nhw thế , khá là khó chịu. Trong mắt họ kiểu ý kiến , quan điểm của ng k luôn luôn sai, bản thân họ mói đúng. Thái độ bề trên câc kiểu\n\nClick to expand...\n\n'}]","



LoserThapNghiep said:



Đồng ý với bác. Từng làm với người nhw thế , khá là khó chịu. Trong mắt họ kiểu ý kiến , quan điểm của ng k luôn luôn sai, bản thân họ mói đúng. Thái độ bề trên câc kiểu

Click to expand...

Trước con mẹ team lead của em thái độ như này làm em với 1 thằng nữa bỏ team đi chỗ khác.
Anh em đi làm hay ở đâu cũng vậy, nên tôn trọng ý kiến lẫn nhau để cùng phát triển.
Vui vẻ với nhau để cuộc sống nhẹ nhàng hơn các fen 

 
"
