UserID,MessageTime,Quote,Text
33441695,2024-08-29 11:12:00,[],"

Các bác cho e xin review về Vinbigdata với ạ. Thấy lương khá ổn với mặt bằng 

 
"
33441763,2024-08-29 11:15:00,"[['32435344'], {'blockid': '2012426', 'data_source': '32435344', 'data_text': '\n\nRice Nguyen said:\n\n\n\nMình cũng mới vừa nhận được offer letter bên Limix IT Solution làm việc ở Bangkok (chung chủ với Wintex). Có anh em nào nhận job bên này review có phải scam hay ko vậy. Công ty cũng khá ít thông tin để tìm hiểu\n\nClick to expand...\n\n'}]","



Rice Nguyen said:



Mình cũng mới vừa nhận được offer letter bên Limix IT Solution làm việc ở Bangkok (chung chủ với Wintex). Có anh em nào nhận job bên này review có phải scam hay ko vậy. Công ty cũng khá ít thông tin để tìm hiểu

Click to expand...

em hỏi thêm thông tin với

 
"
33442468,2024-08-29 11:50:00,[],"

Anh em có ai làm ở Romulus Consultant chưa nhỉ? Cho mình ít review với ạ

 
"
33442628,2024-08-29 11:59:00,[],"

Xin review C.B.T.W với mấy bác ơi.

 
"
33445387,2024-08-29 14:52:00,"[['33442628'], {'blockid': '1721959', 'data_source': '33442628', 'data_text': '\n\nLý Thiên said:\n\n\n\nXin review C.B.T.W với mấy bác ơi.\n\nClick to expand...\n\n'}]","



Lý Thiên said:



Xin review C.B.T.W với mấy bác ơi.

Click to expand...

bác tìm review về positive thinking company là có thằng này nó đổi tên thôi

 
"
33445839,2024-08-29 15:11:00,"[['33445387'], {'blockid': '1125873', 'data_source': '33445387', 'data_text': '\n\nTroller123 said:\n\n\n\nbác tìm review về positive thinking company là có thằng này nó đổi tên thôi\n\nClick to expand...\n\n'}]","



Troller123 said:



bác tìm review về positive thinking company là có thằng này nó đổi tên thôi

Click to expand...

Ra là vậy. Cám ơn bác. Mà thấy chê cũng có khen cũng có, nhưng có vẻ lương cũng khá

 
"
33446053,2024-08-29 15:20:00,"[['33441695'], {'blockid': '2030067', 'data_source': '33441695', 'data_text': '\n\nNameeeeeee said:\n\n\n\nCác bác cho e xin review về Vinbigdata với ạ. Thấy lương khá ổn với mặt bằng \n\nClick to expand...\n\n'}]","



Nameeeeeee said:



Các bác cho e xin review về Vinbigdata với ạ. Thấy lương khá ổn với mặt bằng 

Click to expand...

Ổn là bn và cho vị trí nào

 
"
33448282,2024-08-29 16:58:00,"[['33446053'], {'blockid': '1418575', 'data_source': '33446053', 'data_text': '\n\nluiz said:\n\n\n\nỔn là bn và cho vị trí nào\n\nClick to expand...\n\n'}]","



luiz said:



Ổn là bn và cho vị trí nào

Click to expand...

Dev làng nhàng thôi bác. cũng k tiện tiết lộ. e thấy cao hơn mấy chỗ e apply nên e hỏi thăm trước bác 

 
"
33449106,2024-08-29 17:45:00,"[['33448282'], {'blockid': '2030067', 'data_source': '33448282', 'data_text': '\n\nNameeeeeee said:\n\n\n\nDev làng nhàng thôi bác. cũng k tiện tiết lộ. e thấy cao hơn mấy chỗ e apply nên e hỏi thăm trước bác \n\nClick to expand...\n\n'}]","



Nameeeeeee said:



Dev làng nhàng thôi bác. cũng k tiện tiết lộ. e thấy cao hơn mấy chỗ e apply nên e hỏi thăm trước bác 

Click to expand...

Dev làng nhàng mà vào dc Vinbigdata là ngon đó

 
"
33454179,2024-08-30 02:07:00,[],"

Xin review pentalog, mới pass dev BE bên này, đọc review cũ thấy bảo có ký hợp đồng đào tạo , nay còn vụ này ko nhỉ

 
"
